id,type,name,bitwidth,opcode,delay
0,port,data0,32,,
1,port,data1,32,,
2,port,data2,32,,
3,port,a,64,,
4,port,b,64,,
5,port,c,64,,
6,node,c_read,64,read,1.00
7,node,b_read,64,read,1.00
8,node,a_read,64,read,1.00
9,node,trunc_ln,62,partselect,0.00
10,node,sext_ln13,64,sext,0.00
11,node,data0_addr,32,getelementptr,0.00
12,node,empty,1,readreq,7.30
13,node,trunc_ln13_1,62,partselect,0.00
14,node,sext_ln13_1,64,sext,0.00
15,node,data1_addr,32,getelementptr,0.00
16,node,empty_20,1,readreq,7.30
17,node,trunc_ln13_2,62,partselect,0.00
18,node,sext_ln13_2,64,sext,0.00
19,node,data2_addr,32,getelementptr,0.00
20,node,empty_21,1,writereq,7.30
21,node,_ln13,0,call,0.00
22,node,empty_22,1,writeresp,7.30
23,node,_ln19,0,ret,0.00
24,const,empty,32,,
25,const,empty,32,,
26,const,empty,32,,
27,const,pl_vecadd_Pipeline_VITIS_LOOP_13_1,0,,
28,block,pl_vecadd,,,
